npm_mahasiswa,jenis_semester,tahun_semester,kode_kelas,kode_matkul,nama_matkul,sks_matakuliah,total_hadir,total_pertemuan,total_terlaksana,total_tidak_hadir,kode_nilai,kategori_matakuliah
1931001,ganjil,2019,1BUMA,SI00194,Agama,2,0,0,0,0,A,Agama
1931001,ganjil,2019,1SIMA,SI00153,Arsitektur dan Organisasi Komputer,3,0,0,0,0,A,Computer Hardware
1931001,ganjil,2019,1VUMD,SI00192,Bahasa Inggris I,2,0,0,0,0,A,Bahasa
1931001,ganjil,2019,1SIMA,SIL0085,Lab. Teknik Pemograman,1,0,0,0,0,A,Basic Programming
1931001,ganjil,2019,1SIMA,SI00151,Pengantar Sistem Informasi,3,0,0,0,0,B,Manajemen
1931001,ganjil,2019,1SIMA,SI00152,Teknik Pemograman,3,0,0,0,0,A,Basic Programming
1931001,ganjil,2019,1SIMA,SIL0117,Lab. Desain Interaksi,1,0,0,0,0,A,Design
1931001,ganjil,2019,1SIMA,SIL0091,Lab. Perancangan Situs Web,1,0,0,0,0,A,Website Making
1931001,ganjil,2019,1SIMA,SI00123,Desain Interaksi,3,0,0,0,0,B,Design
1931001,ganjil,2019,1SIMA,SI00159,Perancangan Situs Web,3,0,0,0,0,A,Website Making
1931002,ganjil,2019,1KRMA,SI00194,Agama,2,0,0,0,0,A,Agama
1931002,ganjil,2019,1SIMA,SIL0091,Lab. Perancangan Situs Web,1,0,0,0,0,A,Website Making
1931002,ganjil,2019,1SIMA,SI00159,Perancangan Situs Web,3,0,0,0,0,A,Website Making
1931002,ganjil,2019,1SIMA,SI00153,Arsitektur dan Organisasi Komputer,3,0,0,0,0,A,Computer Hardware
1931002,ganjil,2019,1VUMD,SI00192,Bahasa Inggris I,2,0,0,0,0,A,Bahasa
1931002,ganjil,2019,1SIMA,SIL0085,Lab. Teknik Pemograman,1,0,0,0,0,A,Basic Programming
1931002,ganjil,2019,1SIMA,SI00151,Pengantar Sistem Informasi,3,0,0,0,0,B,Manajemen
1931002,ganjil,2019,1SIMA,SI00152,Teknik Pemograman,3,0,0,0,0,A,Basic Programming
1931002,ganjil,2019,1SIMA,SI00123,Desain Interaksi,3,0,0,0,0,A,Design
1931002,ganjil,2019,1SIMA,SIL0117,Lab. Desain Interaksi,1,0,0,0,0,A,Design
1931003,ganjil,2019,1BUMA,SI00194,Agama,2,0,0,0,0,A,Agama
1931003,ganjil,2019,1SIMB,SI00153,Arsitektur dan Organisasi Komputer,3,0,0,0,0,A,Computer Hardware
1931003,ganjil,2019,1VUMD,SI00192,Bahasa Inggris I,2,0,0,0,0,A,Bahasa
1931003,ganjil,2019,1SIMB,SIL0085,Lab. Teknik Pemograman,1,0,0,0,0,A,Basic Programming
1931003,ganjil,2019,1SIMB,SI00151,Pengantar Sistem Informasi,3,0,0,0,0,A,Manajemen
1931003,ganjil,2019,1SIMB,SI00152,Teknik Pemograman,3,0,0,0,0,A,Basic Programming
1931003,ganjil,2019,1SIMB,SIL0117,Lab. Desain Interaksi,1,0,0,0,0,A,Design
1931003,ganjil,2019,1SIMB,SI00159,Perancangan Situs Web,3,0,0,0,0,A,Website Making
1931003,ganjil,2019,1SIMB,SI00123,Desain Interaksi,3,0,0,0,0,A,Design
1931003,ganjil,2019,1SIMB,SIL0091,Lab. Perancangan Situs Web,1,0,0,0,0,A,Website Making
1931005,ganjil,2019,1BUMA,SI00194,Agama,2,0,0,0,0,A,Agama
1931005,ganjil,2019,1SIMA,SI00153,Arsitektur dan Organisasi Komputer,3,0,0,0,0,A,Computer Hardware
1931005,ganjil,2019,1VUMD,SI00192,Bahasa Inggris I,2,0,0,0,0,A,Bahasa
1931005,ganjil,2019,1SIMA,SIL0085,Lab. Teknik Pemograman,1,0,0,0,0,A,Basic Programming
1931005,ganjil,2019,1SIMA,SI00151,Pengantar Sistem Informasi,3,0,0,0,0,B,Manajemen
1931005,ganjil,2019,1SIMA,SI00152,Teknik Pemograman,3,0,0,0,0,A,Basic Programming
1931005,ganjil,2019,1SIMA,SIL0117,Lab. Desain Interaksi,1,0,0,0,0,A,Design
1931005,ganjil,2019,1SIMA,SI00159,Perancangan Situs Web,3,0,0,0,0,A,Website Making
1931005,ganjil,2019,1SIMA,SI00123,Desain Interaksi,3,0,0,0,0,B,Design
1931005,ganjil,2019,1SIMA,SIL0091,Lab. Perancangan Situs Web,1,0,0,0,0,A,Website Making
1931006,ganjil,2019,1SIMA,SIL0117,Lab. Desain Interaksi,1,0,0,0,0,A,Design
1931006,ganjil,2019,1SIMA,SI00123,Desain Interaksi,3,0,0,0,0,B,Design
1931006,ganjil,2019,1SIMA,SI00152,Teknik Pemograman,3,0,0,0,0,A,Basic Programming
1931006,ganjil,2019,1SIMA,SIL0085,Lab. Teknik Pemograman,1,0,0,0,0,A,Basic Programming
1931006,ganjil,2019,1SIMA,SI00159,Perancangan Situs Web,3,0,0,0,0,B,Website Making
1931006,ganjil,2019,1SIMA,SIL0091,Lab. Perancangan Situs Web,1,0,0,0,0,A,Website Making
1931006,ganjil,2019,1SIMA,SI00153,Arsitektur dan Organisasi Komputer,3,0,0,0,0,A,Computer Hardware
1931006,ganjil,2019,1SIMA,SI00151,Pengantar Sistem Informasi,3,0,0,0,0,B,Manajemen
1931006,ganjil,2019,1BUMA,SI00194,Agama,2,0,0,0,0,A,Agama
1931006,ganjil,2019,1TUME,SI00192,Bahasa Inggris I,2,0,0,0,0,A,Bahasa
1931007,ganjil,2019,1KRMA,SI00194,Agama,2,0,0,0,0,C,Agama
