npm,bank_id,nama_kegiatan,tingkat_kegiatan,tanggal_kegiatan
2031038,10945,"Webinar Series #3 : ""Profesi Hukum Itu, Asyik!""",lokal,11/07/2020
1931095,2154,Aesthetic Introduction to Literature Feast (Aestro Feast) 2019,lokal,11/18/2019
1931095,5036,"Mentoring and Tutoring ""Pyhton 101 - Part II""",lokal,09/21/2019
2031140,3533,Ibadah Mahasiswa Baru (IMABA) Mahasiswa Kristen Universitas Internasional Batam,lokal,09/05/2020
2031140,1972,Virtual Gathering Crown Of Glory 2020: Be Careful and Love Yourself,lokal,10/17/2020
2031140,4260,"Kegiatan Seminar Pacaran Kristen: ""Bagaimana Ku Mengenal Dia Dalam Dia""",lokal,10/31/2020
2031140,6739,"Seminar Daring Nasional : ""Let""s Start Up and Recreate Ideas in New Normal Era""",national,10/31/2020
2031140,10224,"Webinar Nasional ""How Do I Survive and Get Out of This Anxienty Disorders""",national,09/26/2020
1931095,12214,Sertifikasi Agile Scrum Fundamentals (ASF) (Quints Redwood Wellington),international,12/13/2020
2031140,3197,"Festival Seminar Online Part 2 Mental Health Awareness "" Psycho - Social Teenager With Their Strunggles """,national,10/06/2020
2031140,3200,"Festival Seminar Online Part 2 Mental Health Awareness "" Toxic Relationship """,national,10/08/2020
2031140,3202,"Festival Seminar Online Part 2 Mental Health Awareness ""Overwhelming Feeling""",national,10/09/2020
2031140,10189,"Webinar Nasional ""Aktualisasi Peran Sumber Daya Manusia Melalui Implementasi Karya Guna Mewujudkan Indonesia Emas 2045""",national,10/25/2020
1931095,10392,Webinar Nasional #pandemiproduktif : Ngobrol tentang Aquascape yuk!,national,09/12/2020
1931095,2024,"1 Jam Pelatihan Online ""Perluas Kehadiran Online Anda dengan Strategi Bisnis yang Tepat""",national,09/10/2020
1931038,12214,Sertifikasi Agile Scrum Fundamentals (ASF) (Quints Redwood Wellington),international,12/13/2020
1931095,8962,"Webinar ""How To Be a Productive and Inspiring Youth""",national,09/09/2020
1931095,4650,Langkah Awal Melakukan Public Speaking with Mentari Delita,national,09/11/2020
